color;director_name;duration;gross;genres;movie_title;title_year;language;country;budget;imdb_score;actors;movie_facebook_likes
color;david dobkin;141;47105085.0;['Crime', 'Drama'];the judge;2014;english;usa;50000000.0;7.4;Robert Downey Jr.,Robert Duvall,Leighton Meester;47000
color;ryan murphy;140;80574010.0;['Drama', 'Romance'];eat pray love;2010;english;usa;60000000.0;5.7;James Franco,Julia Roberts,Billy Crudup;26000
color;james wan;140;350034110.0;['Action', 'Crime', 'Thriller'];furious 7;2015;english;usa;190000000.0;7.2;Jason Statham,Paul Walker,Vin Diesel;94000
color;derek cianfrance;140;21383298.0;['Crime', 'Drama', 'Thriller'];the place beyond the pines;2012;english;usa;15000000.0;7.3;Ryan Gosling,Ben Mendelsohn,Angelo Anthony Pizza;47000
color;gavin o'connor;140;13651662.0;['Drama', 'Sport'];warrior;2011;english;usa;25000000.0;8.2;Tom Hardy,Frank Grillo,Kevin Dunn;77000
color;;139;150832203.0;['Adventure', 'Mystery', 'Sci-Fi'];divergent;2014;english;usa;85000000.0;6.7;Kate Winslet,Theo James,Mekhi Phifer;49000
color;gary ross;139;20389967.0;['Action', 'Biography', 'Drama', 'History', 'War'];free state of jones;2016;english;usa;50000000.0;6.7;Matthew McConaughey,Donald Watkins,Jessica Collins;10000
color;tate taylor;139;30513940.0;['Biography', 'Drama', 'Music'];get on up;2014;english;usa;30000000.0;6.9;Tika Sumpter,Josh Hopkins,Aunjanue Ellis;11000
;terrence malick;139;13303319.0;['Drama', 'Fantasy'];the tree of life;2011;english;usa;32000000.0;6.7;Brad Pitt,Tye Sheridan,Fiona Shaw;39000
color;;138;150117807.0;['Crime', 'Drama'];american hustle;2013;english;usa;40000000.0;7.3;Jennifer Lawrence,Christian Bale,Bradley Cooper;63000
;robert zemeckis;138;93749203.0;['Drama', 'Thriller'];flight;2012;english;usa;31000000.0;7.3;Denzel Washington,Bruce Greenwood,Nadine Velazquez;64000
color;darren aronofsky;138;101160529.0;['Action', 'Adventure', 'Drama'];noah;2014;english;usa;125000000.0;5.8;Anthony Hopkins,Emma Watson,Logan Lerman;71000
color;martin scorsese;138;127968405.0;['Mystery', 'Thriller'];shutter island;2010;english;usa;80000000.0;8.1;Leonardo DiCaprio,Joseph Sikora,Nellie Sciutto;53000
color;ridley scott;138;16969390.0;['Crime', 'Drama', 'Thriller'];the counselor;2013;english;usa;25000000.0;5.3;Michael Fassbender,Brad Pitt,Goran Visnjic;24000
;james mangold;138;132550960.0;['Action', 'Adventure', 'Sci-Fi', 'Thriller'];the wolverine;2013;english;usa;120000000.0;6.7;Hugh Jackman,Tao Okamoto,Rila Fukushima;68000
color;daniel espinosa;137;1206135.0;['Crime', 'Drama', 'Thriller'];child 44;205;english;czech republic;50000000.0;6.4;Tom Hardy,Fares Fares,Michael Nardone;18000
color;;137;37304950.0;['Biography', 'Crime', 'Drama'];j. edgar;2011;english;usa;35000000.0;6.6;Leonardo DiCaprio,Naomi Watts,Kaitlyn Dever;16000
;walter salles;137;717753.0;['Adventure', 'Drama'];on the road;2012;english;france;25000000.0;6.1;Kristen Stewart,Viggo Mortensen,Kirsten Dunst;27000
color;;137;281666058.0;['Adventure', 'Sci-Fi'];the hunger games: mockingjay - part 2;2015;english;usa;160000000.0;6.6;Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson;38000
color;angelina jolie pitt;137;115603980.0;['Biography', 'Drama', 'Sport', 'War'];unbroken;2014;english;usa;65000000.0;-1.2;Finn Wittrock,Jack O'Connell,Alex Russell;35000
color;angelina jolie pitt;137;115603980.0;['Biography', 'Drama', 'Sport', 'War'];unbroken;2014;english;usa;65000000.0;7.2;Finn Wittrock,Jack O'Connell,Alex Russell;35000
;seth macfarlane;136;42615685.0;['Comedy', 'Western'];a million ways to die in the west;2014;english;usa;40000000.0;6.1;Liam Neeson,Charlize Theron,Seth MacFarlane;24000
color;anthony russo;136;259746958.0;['Action', 'Adventure', 'Sci-Fi'];captain america: the winter soldier;2014;english;usa;170000000.0;7.8;Scarlett Johansson,Chris Evans,Hayley Atwell;55000
color;rob marshall;136;241063875.0;['Action', 'Adventure', 'Fantasy'];pirates of the caribbean: on stranger tides;2011;english;usa;250000000.0;6.7;Johnny Depp,Sam Claflin,Stephen Graham;58000
color;adam shankman;136;38509342.0;['Comedy', 'Drama', 'Musical', 'Romance'];rock of ages;2012;english;usa;75000000.0;5.9;James Martin Kelly,Shane Hartline,Celina Beach;33000
color;;136;52474616.0;['Drama'];wall street: money never sleeps;2010;english;usa;70000000.0;6.3;Frank Langella,Austin Pendleton,John Buffalo Mailer;13000
color;tony gilroy;135;113165635.0;['Action', 'Adventure', 'Thriller'];the bourne legacy;2012;english;usa;125000000.0;6.7;Jeremy Renner,Scott Glenn,Stacy Keach;31000
color;steve mcqueen;134;56667870.0;['Biography', 'Drama', 'History'];12 years a slave;2013;english;usa;20000000.0;8.1;Quvenzhané Wallis,Scoot McNairy,Taran Killam;83000
color;paul greengrass;134;107100855.0;['Biography', 'Drama', 'Thriller'];captain phillips;2013;english;usa;55000000.0;7.9;Tom Hanks,Chris Mulkey,Michael Chernus;65000
color;david ayer;134;85707116.0;['Action', 'Drama', 'War'];fury;2014;english;usa;68000000.0;7.6;Brad Pitt,Logan Lerman,Jim Parrack;82000
color;clint eastwood;5;47034272.0;['Biography', 'Drama', 'Music', 'Musical'];jersey boys;2014;english;usa;40000000.0;6.9;Johnny Cannizzaro,Steve Schirripa,Scott Vance;16000
